parameter,posterior_mode_MAP,posterior_variance,posterior_sd,approx_95pct_CI_low,approx_95pct_CI_high
intercept,-1.1712389081318746,0.006216416281743304,0.07884425332098277,-1.325773644641001,-1.0167041716227483
acute_load,0.06395825370619584,0.0062365557462366735,0.0789718668022776,-0.09082660522626823,0.21874311263865992
rhr_dev,0.08250244688410485,0.010604743499301888,0.10297933530229202,-0.11933705030838748,0.2843419440765972
overnight_hrv_dev,-0.18486792868821159,0.011016981922367438,0.10496181173344636,-0.39059307968576645,0.020857222309343282
